CurrencyCode,Symbol,Position
AFN,؋,R
ALL,Lek,R
ANG,ƒ,L
ARS,$,L
AUD,$,L
AWG,ƒ,L
AZN,ман,R
BAM,KM,L
BBD,$,L
BGN,лв,R
BMD,$,L
BND,$,L
BOB,$b,L
BRL,R$,L
BSD,$,L
BWP,P,
BYR,p.,
BZD,BZ$,L
CAD,$,L
CHF,CHF,X
CLP,$,L
CNY,¥,
COP,$,L
CRC,₡,
CUP,₱,
CZK,Kč,
DKK,kr,R
DOP,RD$,L
EEK,kr,R
EGP,£,L
EUR,€,L
FJD,$,L
FKP,£,L
GBP,£,L
GGP,£,L
GHS,GH₵,L
GIP,£,L
GTQ,Q,
GYD,$,L
HKD,$,L
HNL,L,L
HRK,kn,
HUF,Ft,
IDR,Rp,L
ILS,₪,
IMP,£,L
IRR,﷼,
ISK,kr,R
JEP,£,L
JMD,J$,L
JPY,¥,L
KGS,лв,R
KHR,៛,L
KPW,₩,L
KRW,₩,L
KYD,$,L
KZT,лв,R
LAK,₭,L
LBP,£,L
LKR,₨,L
LRD,$,L
LTL,Lt,
LVL,Ls,L
MKD,ден,R
MNT,₮,L
MUR,₨,L
MXN,$,L
MYR,RM,
MZN,MT,
NAD,$,L
NGN,₦,L
NIO,C$,L
NOK,kr,R
NPR,₨,L
NZD,$,L
OMR,﷼,
PAB,B/.,L
PEN,S/.,L
PHP,₱,L
PKR,₨ ,L
PLN,zł,R
PYG,Gs,
QAR,﷼,
RON,lei,X
RSD,Дин.,X
RUB,руб,X
SAR,﷼,L
SBD,$,L
SCR,₨,L
SEK,kr,R
SGD,$,L
SHP,£,L
SOS,S,
SRD,$,L
SVC,$,L
SYP,£,L
THB,฿,L
TRL,₤,L
TRY,TL,
TTD,TT$,L
TVD,$,L
TWD,NT$,L
UAH,₴,L
USD,$,L
UYU,$U,L
UZS,лв,L
VEF,Bs,
VND,₫,R
XCD,$,L
YER,﷼,L
ZAR,R,
ZWD,Z$,L
